"Site","Date","Detector","Classification","Count"
"Peace","20190710","Whitemud2","EPFU",1
"Peace","20190713","Whitemud2","EPFU",77
"Peace","20190715","Whitemud2","EPFU",3
"Peace","20190710","Whitemud2","EPFU.LANO",2
"Peace","20190713","Whitemud2","EPFU.LANO",20
"Peace","20190715","Whitemud2","EPFU.LANO",4
"Peace","20190710","Whitemud2","LABO.MYLU",2
"Peace","20190713","Whitemud2","LABO.MYLU",2
"Peace","20190710","Whitemud2","LACI",6
"Peace","20190711","Whitemud2","LACI",4
"Peace","20190712","Whitemud2","LACI",4
"Peace","20190713","Whitemud2","LACI",7
"Peace","20190715","Whitemud2","LACI",4
"Peace","20190710","Whitemud2","My_40k",12
"Peace","20190711","Whitemud2","My_40k",1
"Peace","20190712","Whitemud2","My_40k",1
"Peace","20190713","Whitemud2","My_40k",4
"Peace","20190714","Whitemud2","My_40k",2
"Peace","20190715","Whitemud2","My_40k",2
"Peace","20190710","Whitemud2","unknown",78
"Peace","20190711","Whitemud2","unknown",7
"Peace","20190712","Whitemud2","unknown",3
"Peace","20190713","Whitemud2","unknown",273
"Peace","20190714","Whitemud2","unknown",2
"Peace","20190715","Whitemud2","unknown",56
