"Site","Date","Detector","Classification","Count"
"Peace","20190713","Whitemud3_filterede","EPFU.LANO",4
"Peace","20190713","Whitemud3_filterede","LACI",7
"Peace","20190713","Whitemud3_filterede","unknown",27
