"Site","Date","Detector","Classification","Count"
"Peace","20190714","Whitemud3_filteredc","EPFU.LANO",2
"Peace","20190715","Whitemud3_filteredc","EPFU.LANO",1
"Peace","20190713","Whitemud3_filteredc","LACI",3
"Peace","20190714","Whitemud3_filteredc","LACI",4
"Peace","20190715","Whitemud3_filteredc","LACI",16
"Peace","20190713","Whitemud3_filteredc","unknown",8
"Peace","20190714","Whitemud3_filteredc","unknown",9
"Peace","20190715","Whitemud3_filteredc","unknown",11
