Site,Date,Filename,n_calls,prob1,sp1,prob2,sp2,prob3,sp3,mean_temp,mean_hum,mean_wind,min_temp,min_hum,min_wind,max_temp,max_hum,max_wind
Peace_Whitemud3_filteredd,20190713,20191805__20190714_042912.00#.zc,14,0.305142857142857,EPFU,0.295714285714286,noise,0.205142857142857,LANO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredd,20190713,20191805__20190714_042809.00#.zc,6,0.566333333333333,noise,0.197,LACI,0.152666666666667,EPFU,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredd,20190713,20191805__20190714_042717.00#.zc,38,0.552684210526316,noise,0.190684210526316,LACI,0.184157894736842,EPFU,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredd,20190713,20191805__20190714_042916.00#.zc,11,0.624,noise,0.183818181818182,LACI,0.156363636363636,EPFU,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredd,20190713,20191805__20190714_042918.00#.zc,30,0.471866666666667,noise,0.224,EPFU,0.179533333333333,LACI,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredd,20190713,20191805__20190714_042822.00#.zc,18,0.351555555555556,noise,0.332333333333333,EPFU,0.180555555555556,LANO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredd,20190713,20191805__20190714_042839.00#.zc,29,0.511862068965517,noise,0.199862068965517,EPFU,0.178344827586207,LACI,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredd,20190713,20191805__20190714_042519.00#.zc,10,0.4148,noise,0.2366,LACI,0.2214,EPFU,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredd,20190713,20191805__20190714_042808.00#.zc,7,0.536571428571429,noise,0.174285714285714,LACI,0.164,EPFU,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredd,20190713,20191805__20190714_042515.00#.zc,8,0.4215,noise,0.25725,EPFU,0.183,LACI,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
