Land.Unit.Code,GRTS.Cell.ID,Location.Name,Cardinal_Direction,Stn_Num,GRTS_Qdrnt,Orig.Name,NABat.Sample,Longitude,Latitude
NSR,330622,330622_NE_01,NE,1,330622_NE,RD-4a,No,-111.34672,52.44648
RDR,338036,338036_NE_01,NE,1,338036_NE,RD-7b,No,-111.68221,51.94945
PR,221850,221850_SE_01,SE,1,221850_SE ,Copton 1,Yes,-119.28558,54.13961
PR,221850,221850_SW_01,SW,1,221850_SW ,Copton 2,Yes,-119.34776,54.13707
PR,9626,9626_NW_01,NW,1,9626_NW ,Muskeg 1,Yes,-118.87806,53.91963
PR,9626,9626_NE_01,NE,1,9626_NE ,Muskeg 2,Yes,-118.79945,53.90287
PR,197018,197018_NW_01,NW,1,197018_NW ,Sulphur 1,Yes,-119.18431,53.85455
PR,31898,31898_SE_01,SE,1,31898_SE ,Sulphur 2a,Yes,-119.7175,53.52569
PR,197018,197018_NE_01,NE,1,197018_NE,Sulphur 2b,Yes,-119.11191,53.86945
ABMI,42650,42650_NE_01,NE,1,42650_NE,NABAT-430544,Yes,-118.997423,54.554129
ABMI,42650,42650_SE_01,SE,1,42650_SE,NABAT-429013,Yes,-118.996094,54.486094
ABMI,42650,42650_SW_01,SW,1,42650_SW,NABAT-429014,Yes,-118.963289,54.516323
ABMI,75418,75418_NW_01,NW,1,75418_NW,NABAT-436665,Yes,-118.968135,54.738357
ABMI,75418,75418_SW_01,SW,1,75418_SW,NABAT-435135,Yes,-118.997165,54.68986
ABMI,26266,26266_SE_01,SE,1,26266_SE,NABAT-435130,Yes,-119.309235,54.608363
ABMI,26266,26266_SW_01,SW,1,26266_SW,NABAT-435129,Yes,-119.388556,54.60773
ABMI,58010,58010_NE_01,NE,1,58010_NE,NABAT-427478,Yes,-119.368777,54.401639
ABMI,58010,58010_NW_01,NW,1,58010_NW,NABAT-427477,Yes,-119.433147,54.377318
