Site,Date,Filename,n_calls,prob1,sp1,prob2,sp2,prob3,sp3,mean_temp,mean_hum,mean_wind,min_temp,min_hum,min_wind,max_temp,max_hum,max_wind
Peace_Whitemud1,20190710,20191804__20190711_001058_960.zc,18,0.253666666666667,MYLU,0.223777777777778,MYVO,0.136222222222222,LABO,8.816666666667,95.500000000000,4.166666666667,7.500000000000,87.000000000000,2.000000000000,11.700000000000,99.000000000000,7.000000000000
Peace_Whitemud1,20190710,20191804__20190711_040228_000.zc,14,0.271285714285714,MYLU,0.247714285714286,MYVO,0.107285714285714,MYSE,8.816666666667,95.500000000000,4.166666666667,7.500000000000,87.000000000000,2.000000000000,11.700000000000,99.000000000000,7.000000000000
Peace_Whitemud1,20190711,20191804__20190712_043943_520.zc,8,0.36325,noise,0.27325,EPFU,0.211,LACI,12.433333333333,87.166666666667,9.166666666667,11.000000000000,84.000000000000,7.000000000000,13.300000000000,93.000000000000,11.000000000000
Peace_Whitemud1,20190713,20191804__20190714_040917_140.zc,11,0.486545454545455,noise,0.0892727272727273,LACI,0.0758181818181818,MYLU,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
