"Site","Date","Detector","Classification","Count"
"Peace","20180624","Whitemud2","EPFU",9
"Peace","20180624","Whitemud2","EPFU.LANO",1
"Peace","20180625","Whitemud2","EPFU.LANO",3
"Peace","20180626","Whitemud2","EPFU.LANO",1
"Peace","20180627","Whitemud2","LABO.MYLU",4
"Peace","20180624","Whitemud2","LACI",4
"Peace","20180625","Whitemud2","LACI",2
"Peace","20180626","Whitemud2","LACI",1
"Peace","20180627","Whitemud2","LACI",2
"Peace","20180626","Whitemud2","My_40k",2
"Peace","20180627","Whitemud2","My_40k",3
"Peace","20180625","Whitemud2","noise",8
"Peace","20180627","Whitemud2","noise",3
"Peace","20180624","Whitemud2","unknown",33
"Peace","20180625","Whitemud2","unknown",34
"Peace","20180626","Whitemud2","unknown",5
"Peace","20180627","Whitemud2","unknown",49
