Site,Date,Filename,n_calls,prob1,sp1,prob2,sp2,prob3,sp3,mean_temp,mean_hum,mean_wind,min_temp,min_hum,min_wind,max_temp,max_hum,max_wind
Peace_Whitemud2,20180624,BA4-18__20180625_043727.00#.zc,1,0.628,noise,0.304,LACI,0.058,EPFU,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043800.00#.zc,3,0.558,EPFU,0.194,noise,0.154,LACI,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043724.00#.zc,7,0.499428571428571,EPFU,0.272857142857143,noise,0.189142857142857,LACI,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043645.00#.zc,28,0.442071428571429,EPFU,0.209928571428571,noise,0.191928571428571,LACI,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043708.00#.zc,14,0.434428571428571,EPFU,0.294142857142857,noise,0.177,LACI,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043642.00#.zc,4,0.6065,noise,0.1755,EPFU,0.153,LACI,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043758.00#.zc,13,0.338307692307692,noise,0.246769230769231,LACI,0.192307692307692,EPFU,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_051156.00#.zc,4,0.684,noise,0.262,LACI,0.0485,EPFU,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_044259.00#.zc,40,0.32115,MYLU,0.1731,MYVO,0.14145,noise,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043559.00#.zc,1,0.468,LACI,0.194,EPFU,0.188,noise,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043802.00#.zc,12,0.385166666666667,noise,0.282333333333333,LACI,0.262833333333333,EPFU,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043743.00#.zc,4,0.4635,EPFU,0.228,noise,0.199,LACI,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043834.00#.zc,31,0.501806451612903,EPFU,0.228387096774194,LACI,0.175354838709677,noise,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043607.00#.zc,11,0.514545454545455,EPFU,0.251090909090909,LACI,0.159454545454545,noise,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043713.00#.zc,1,0.57,noise,0.312,LACI,0.09,EPFU,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043632.00#.zc,7,0.438571428571429,EPFU,0.266285714285714,noise,0.205142857142857,LACI,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043705.00#.zc,4,0.5045,noise,0.1895,LACI,0.17,LANO,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043842.00#.zc,2,0.351,noise,0.291,LACI,0.203,EPFU,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043735.00#.zc,4,0.372,EPFU,0.3125,LACI,0.264,noise,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043704.00#.zc,8,0.5525,noise,0.243,LACI,0.1255,EPFU,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043801.00#.zc,4,0.593,EPFU,0.191,noise,0.1575,LACI,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043625.00#.zc,4,0.47,EPFU,0.2195,noise,0.216,LACI,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043714.00#.zc,9,0.515111111111111,noise,0.170222222222222,LACI,0.111555555555556,LANO,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
Peace_Whitemud2,20180624,BA4-18__20180625_043859.00#.zc,13,0.281692307692308,MYLU,0.168307692307692,MYVO,0.113384615384615,MYSE,17.916666666667,58.000000000000,12.333333333333,16.000000000000,51.000000000000,7.000000000000,20.200000000000,72.000000000000,15.000000000000
